id,area,date,start_time,end_time,duration_minutes,reason,voltage_level,reported_by,is_planned
5460,Punjagutta,2024-02-26,17:45,18:40,55,Transformer Failure,11kV,Telangana DISCOM App,0
5461,Bowenpally,2024-01-27,11:00,16:21,321,Scheduled Maintenance,11kV,Social Media,1
5462,Habsiguda,2024-04-14,11:00,15:34,274,Load Shedding,132kV,TSECL Website,0
5463,Golconda,2024-02-21,19:30,00:07,277,Equipment Upgrade,11kV,TSECL Website,1
5464,Zahirabad,2024-02-02,02:45,06:12,207,Line Fault,11kV,TSECL Website,0
5465,Shamirpet,2023-09-14,20:30,02:20,350,Weather Damage,11kV,TSECL Website,0
5466,Dilsukhnagar,2024-05-02,12:15,14:32,137,Network Expansion,11kV,Telangana DISCOM App,1
5467,Patancheru,2024-03-16,01:45,07:44,359,Load Shedding,11kV,Consumer Call,0
5468,Malkajgiri,2024-02-19,15:45,19:24,219,Network Expansion,11kV,TSECL Website,1
5469,Quthbullapur,2024-01-04,09:00,09:54,54,Scheduled Maintenance,33kV,TSECL Website,1
5470,Secunderabad,2024-01-21,01:15,02:41,86,Line Fault,11kV,TSECL Website,0
5471,Kukatpally,2023-12-27,18:15,19:54,99,Transformer Failure,33kV,Consumer Call,0
5472,Jubilee Hills,2023-09-23,23:30,04:41,311,Line Fault,33kV,TSECL Website,0
5473,Vidyanagar,2024-02-02,08:45,14:32,347,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5474,LB Nagar,2023-09-19,18:15,00:01,346,Equipment Upgrade,11kV,Telangana DISCOM App,1
5475,Miyapur,2023-07-24,13:00,14:34,94,Load Shedding,33kV,Telangana DISCOM App,0
5476,Yapral,2024-06-28,10:15,12:15,120,Equipment Upgrade,132kV,TSECL Website,1
5477,Boduppal,2023-09-21,15:15,19:32,257,Network Expansion,132kV,TSECL Website,1
5478,Punjagutta,2023-12-14,11:45,15:41,236,Equipment Upgrade,11kV,Telangana DISCOM App,1
5479,KPHB,2023-11-22,15:30,19:15,225,Network Expansion,11kV,Social Media,1
5480,Miyapur,2023-09-09,19:30,22:51,201,Scheduled Maintenance,33kV,Consumer Call,1
5481,Chandanagar,2023-10-22,03:00,03:43,43,Weather Damage,132kV,Telangana DISCOM App,0
5482,Himayatnagar,2024-06-17,10:30,12:39,129,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5483,Khairatabad,2024-03-18,06:00,09:47,227,Weather Damage,11kV,Consumer Call,0
5484,Vanasthalipuram,2024-05-07,17:45,21:46,241,Network Expansion,11kV,Telangana DISCOM App,1
5485,Kukatpally,2023-07-18,10:15,13:12,177,Equipment Upgrade,11kV,TSECL Website,1
5486,Rajendra Nagar,2023-08-16,08:15,10:50,155,Equipment Upgrade,33kV,TSECL Website,1
5487,Gachibowli,2023-12-05,16:30,23:45,435,Scheduled Maintenance,33kV,Social Media,1
5488,Habsiguda,2023-07-04,13:45,21:18,453,Scheduled Maintenance,11kV,Consumer Call,1
5489,Ameerpet,2023-08-08,20:45,21:08,23,Transformer Failure,11kV,Telangana DISCOM App,0
5490,Uppal,2024-02-16,18:00,23:40,340,Network Expansion,11kV,TSECL Website,1
5491,Kondapur,2024-03-03,16:45,20:26,221,Scheduled Maintenance,11kV,TSECL Website,1
5492,Gandipet,2024-04-28,00:30,01:23,53,Weather Damage,33kV,Consumer Call,0
5493,Banjara Hills,2023-08-18,17:15,18:30,75,Network Expansion,11kV,TSECL Website,1
5494,Moula Ali,2023-12-23,01:45,04:17,152,Load Shedding,11kV,Telangana DISCOM App,0
5495,Uppal,2024-05-23,17:15,22:14,299,Transformer Failure,132kV,Telangana DISCOM App,0
5496,Manikonda,2024-05-21,21:45,00:22,157,Line Fault,33kV,Telangana DISCOM App,0
5497,Secunderabad,2023-08-15,17:45,21:20,215,Network Expansion,11kV,Consumer Call,1
5498,Zahirabad,2024-02-15,19:30,20:40,70,Line Fault,11kV,Telangana DISCOM App,0
5499,Kukatpally,2024-06-25,16:30,19:28,178,Grid Overload,11kV,TSECL Website,0
5500,Vanasthalipuram,2024-02-25,22:15,00:22,127,Line Fault,11kV,Social Media,0
5501,Tolichowki,2024-05-16,13:00,16:11,191,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5502,Nampally,2024-06-08,19:00,19:58,58,Network Expansion,33kV,Telangana DISCOM App,1
5503,Zahirabad,2024-06-01,19:15,20:45,90,Scheduled Maintenance,33kV,Consumer Call,1
5504,Vanasthalipuram,2024-01-19,10:30,12:03,93,Load Shedding,33kV,Telangana DISCOM App,0
5505,Tarnaka,2024-04-29,14:00,19:32,332,Equipment Upgrade,11kV,Telangana DISCOM App,1
5506,Bolarum,2024-05-17,08:15,12:41,266,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5507,Bowenpally,2023-08-30,16:15,23:19,424,Scheduled Maintenance,11kV,Consumer Call,1
5508,Manikonda,2024-02-19,04:15,10:02,347,Transformer Failure,11kV,Social Media,0
5509,Nampally,2024-02-11,12:00,19:40,460,Equipment Upgrade,11kV,Consumer Call,1
5510,Rajendra Nagar,2023-11-25,15:15,15:35,20,Load Shedding,11kV,Social Media,0
5511,Tolichowki,2023-08-02,08:45,11:14,149,Scheduled Maintenance,33kV,Consumer Call,1
5512,Shamirpet,2024-06-28,13:00,17:29,269,Network Expansion,11kV,TSECL Website,1
5513,Himayatnagar,2023-11-30,18:30,22:06,216,Transformer Failure,11kV,Consumer Call,0
5514,Dilsukhnagar,2023-10-19,15:15,15:46,31,Network Expansion,11kV,TSECL Website,1
5515,Sanath Nagar,2023-08-07,09:30,17:00,450,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5516,Sanath Nagar,2023-11-25,16:30,21:15,285,Network Expansion,11kV,TSECL Website,1
5517,Moula Ali,2024-04-16,11:30,15:31,241,Scheduled Maintenance,33kV,TSECL Website,1
5518,Khairatabad,2023-07-10,19:15,00:33,318,Weather Damage,11kV,TSECL Website,0
5519,Gandipet,2023-08-13,13:15,15:40,145,Scheduled Maintenance,132kV,Telangana DISCOM App,1
5520,Nallagandla,2024-06-05,17:15,18:57,102,Network Expansion,11kV,Social Media,1
5521,Sanath Nagar,2023-12-04,04:45,05:19,34,Load Shedding,11kV,Telangana DISCOM App,0
5522,Serilingampally,2024-01-19,04:45,08:15,210,Weather Damage,11kV,TSECL Website,0
5523,Zahirabad,2023-07-10,17:00,17:42,42,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5524,Raidurg,2024-06-12,16:15,21:50,335,Equipment Upgrade,11kV,TSECL Website,1
5525,Gandipet,2023-07-20,00:45,02:07,82,Grid Overload,11kV,Consumer Call,0
5526,Uppal,2023-12-09,23:15,02:31,196,Load Shedding,33kV,Consumer Call,0
5527,Vanasthalipuram,2024-03-13,07:30,12:51,321,Load Shedding,132kV,Consumer Call,0
5528,Malkajgiri,2023-08-24,09:15,15:36,381,Scheduled Maintenance,33kV,Consumer Call,1
5529,Quthbullapur,2024-03-29,16:15,17:40,85,Transformer Failure,33kV,Telangana DISCOM App,0
5530,Kondapur,2023-12-07,19:15,21:02,107,Line Fault,33kV,TSECL Website,0
5531,Raidurg,2023-09-05,02:00,06:00,240,Load Shedding,11kV,Telangana DISCOM App,0
5532,Malkajgiri,2023-08-09,18:15,00:58,403,Equipment Upgrade,11kV,TSECL Website,1
5533,Vidyanagar,2024-03-19,13:15,14:05,50,Scheduled Maintenance,33kV,TSECL Website,1
5534,Kondapur,2024-02-14,10:00,11:10,70,Equipment Upgrade,11kV,TSECL Website,1
5535,Quthbullapur,2023-07-09,16:15,18:22,127,Equipment Upgrade,11kV,Telangana DISCOM App,1
5536,Zahirabad,2024-06-18,06:00,11:03,303,Line Fault,11kV,Social Media,0
5537,Gandipet,2024-01-19,14:45,22:39,474,Network Expansion,132kV,TSECL Website,1
5538,Vanasthalipuram,2023-07-06,17:15,23:42,387,Equipment Upgrade,33kV,Consumer Call,1
5539,Tarnaka,2023-08-05,14:15,18:58,283,Equipment Upgrade,33kV,TSECL Website,1
5540,Himayatnagar,2024-06-14,12:45,18:33,348,Network Expansion,11kV,TSECL Website,1
5541,Tarnaka,2023-07-04,14:45,19:00,255,Network Expansion,11kV,TSECL Website,1
5542,Bolarum,2023-11-26,19:00,21:50,170,Transformer Failure,33kV,TSECL Website,0
5543,Bolarum,2024-03-19,13:45,14:42,57,Equipment Upgrade,11kV,Telangana DISCOM App,1
5544,Secunderabad,2024-06-19,23:00,02:56,236,Weather Damage,11kV,Consumer Call,0
5545,Lingampally,2023-08-01,17:30,20:03,153,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5546,Kukatpally,2023-10-30,01:30,02:34,64,Grid Overload,33kV,TSECL Website,0
5547,Dilsukhnagar,2024-01-22,19:00,21:12,132,Line Fault,11kV,Telangana DISCOM App,0
5548,Madhapur,2023-11-14,02:30,07:36,306,Load Shedding,33kV,Consumer Call,0
5549,Vidyanagar,2023-07-23,17:45,23:01,316,Transformer Failure,11kV,Telangana DISCOM App,0
5550,Jubilee Hills,2023-12-23,21:00,00:54,234,Line Fault,11kV,TSECL Website,0
5551,Ameerpet,2024-03-20,11:15,13:14,119,Equipment Upgrade,132kV,Consumer Call,1
5552,Chandanagar,2023-12-16,17:15,19:58,163,Equipment Upgrade,33kV,Telangana DISCOM App,1
5553,Kothapet,2023-09-17,06:45,09:15,150,Grid Overload,11kV,Consumer Call,0
5554,Quthbullapur,2024-03-07,19:45,01:02,317,Network Expansion,11kV,TSECL Website,1
5555,Abids,2023-12-07,01:15,06:09,294,Line Fault,11kV,Telangana DISCOM App,0
5556,Nampally,2023-11-19,14:15,17:23,188,Line Fault,33kV,Consumer Call,0
5557,LB Nagar,2024-01-24,09:45,13:08,203,Transformer Failure,33kV,Consumer Call,0
5558,Nallagandla,2024-04-23,09:00,15:49,409,Scheduled Maintenance,11kV,Consumer Call,1
5559,Ameerpet,2024-05-28,11:30,17:26,356,Scheduled Maintenance,33kV,Consumer Call,1
5560,Gandipet,2023-08-03,10:45,12:37,112,Equipment Upgrade,33kV,Social Media,1
5561,Abids,2024-01-29,10:45,17:04,379,Equipment Upgrade,132kV,TSECL Website,1
5562,KPHB,2024-01-23,08:45,16:15,450,Network Expansion,132kV,Telangana DISCOM App,1
5563,Shamirpet,2024-05-16,17:15,20:07,172,Network Expansion,11kV,TSECL Website,1
5564,Begumpet,2024-01-03,11:30,16:28,298,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5565,Shamshabad,2023-09-10,13:00,15:08,128,Transformer Failure,33kV,Consumer Call,0
5566,Secunderabad,2024-01-16,08:15,13:40,325,Scheduled Maintenance,132kV,Telangana DISCOM App,1
5567,Rajendra Nagar,2023-09-05,19:30,01:00,330,Equipment Upgrade,33kV,Telangana DISCOM App,1
5568,Kothapet,2023-12-15,09:45,14:01,256,Transformer Failure,11kV,Social Media,0
5569,Hitech City,2024-04-16,16:45,22:29,344,Grid Overload,11kV,Consumer Call,0
5570,Manikonda,2023-10-13,10:45,13:22,157,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5571,Abids,2024-05-10,14:00,21:28,448,Equipment Upgrade,11kV,Consumer Call,1
5572,Rajendra Nagar,2023-11-16,14:00,15:01,61,Equipment Upgrade,11kV,Telangana DISCOM App,1
5573,Golconda,2023-12-17,16:45,19:42,177,Scheduled Maintenance,132kV,TSECL Website,1
5574,Yapral,2024-03-27,12:30,17:14,284,Equipment Upgrade,132kV,TSECL Website,1
5575,Alwal,2023-09-14,09:45,11:16,91,Scheduled Maintenance,11kV,Consumer Call,1
5576,Yapral,2024-05-14,14:15,15:37,82,Weather Damage,11kV,Social Media,0
5577,Abids,2024-04-01,09:45,14:59,314,Scheduled Maintenance,11kV,Social Media,1
5578,Tolichowki,2023-11-26,09:15,17:08,473,Scheduled Maintenance,11kV,TSECL Website,1
5579,Lingampally,2023-12-20,09:15,17:14,479,Scheduled Maintenance,33kV,TSECL Website,1
5580,Rajendra Nagar,2024-02-16,16:15,22:00,345,Equipment Upgrade,11kV,TSECL Website,1
5581,Lingampally,2023-10-22,17:45,23:47,362,Scheduled Maintenance,132kV,Consumer Call,1
5582,Malkajgiri,2024-06-11,11:45,15:03,198,Network Expansion,11kV,Consumer Call,1
5583,Nallagandla,2023-11-05,11:15,12:52,97,Equipment Upgrade,11kV,Social Media,1
5584,KPHB,2023-09-13,08:00,10:43,163,Equipment Upgrade,11kV,Telangana DISCOM App,1
5585,Hitech City,2023-09-08,03:30,05:16,106,Transformer Failure,11kV,Telangana DISCOM App,0
5586,LB Nagar,2023-11-13,08:30,09:57,87,Scheduled Maintenance,11kV,TSECL Website,1
5587,Zahirabad,2023-11-13,18:00,20:44,164,Network Expansion,11kV,TSECL Website,1
5588,Vanasthalipuram,2023-07-31,08:30,13:41,311,Weather Damage,11kV,Consumer Call,0
5589,Vidyanagar,2023-12-08,09:00,16:45,465,Network Expansion,11kV,TSECL Website,1
5590,Kothapet,2024-06-18,09:30,12:48,198,Scheduled Maintenance,33kV,Telangana DISCOM App,1
5591,Raidurg,2023-11-04,09:15,10:07,52,Load Shedding,11kV,Telangana DISCOM App,0
5592,Habsiguda,2024-03-03,05:00,07:17,137,Weather Damage,11kV,Telangana DISCOM App,0
5593,Tarnaka,2024-03-25,10:30,16:02,332,Transformer Failure,11kV,Telangana DISCOM App,0
5594,Ameerpet,2023-10-03,12:00,13:51,111,Equipment Upgrade,33kV,TSECL Website,1
5595,Moula Ali,2023-08-24,15:30,20:12,282,Equipment Upgrade,11kV,TSECL Website,1
5596,Tarnaka,2023-10-08,17:30,22:20,290,Scheduled Maintenance,33kV,Telangana DISCOM App,1
5597,Sanath Nagar,2023-11-11,18:45,23:04,259,Line Fault,33kV,TSECL Website,0
5598,Hitech City,2023-12-02,12:15,14:09,114,Load Shedding,11kV,Telangana DISCOM App,0
5599,Golconda,2024-02-07,14:15,17:59,224,Equipment Upgrade,11kV,TSECL Website,1
5600,Charminar,2024-01-27,08:00,09:19,79,Network Expansion,33kV,TSECL Website,1
5601,Tarnaka,2024-02-24,20:45,21:26,41,Line Fault,33kV,Telangana DISCOM App,0
5602,Khairatabad,2023-09-04,11:15,16:09,294,Grid Overload,11kV,Telangana DISCOM App,0
5603,Habsiguda,2023-07-09,19:00,01:40,400,Scheduled Maintenance,33kV,TSECL Website,1
5604,Bowenpally,2023-12-31,13:30,18:27,297,Scheduled Maintenance,11kV,Consumer Call,1
5605,Banjara Hills,2023-09-23,15:00,19:46,286,Network Expansion,132kV,Consumer Call,1
5606,Bowenpally,2023-10-29,17:45,20:05,140,Equipment Upgrade,11kV,TSECL Website,1
5607,Tarnaka,2023-10-24,13:00,15:42,162,Network Expansion,11kV,TSECL Website,1
5608,Sanath Nagar,2023-08-05,17:00,21:29,269,Grid Overload,11kV,Telangana DISCOM App,0
5609,Quthbullapur,2024-03-28,01:00,03:38,158,Grid Overload,11kV,Consumer Call,0
5610,Tolichowki,2023-07-29,11:15,13:59,164,Network Expansion,11kV,TSECL Website,1
5611,Lingampally,2023-12-28,15:30,22:19,409,Equipment Upgrade,11kV,Consumer Call,1
5612,Chandanagar,2023-08-09,11:30,13:42,132,Equipment Upgrade,11kV,TSECL Website,1
5613,Malkajgiri,2024-02-02,13:15,18:11,296,Network Expansion,11kV,Social Media,1
5614,Nampally,2024-06-14,15:30,21:19,349,Scheduled Maintenance,11kV,Social Media,1
5615,Alwal,2023-12-14,08:00,10:48,168,Network Expansion,33kV,Social Media,1
5616,Patancheru,2024-05-08,09:45,16:54,429,Scheduled Maintenance,132kV,TSECL Website,1
5617,Ameerpet,2023-07-01,14:15,17:27,192,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5618,Vidyanagar,2024-03-17,04:15,04:46,31,Load Shedding,33kV,Telangana DISCOM App,0
5619,Rajendra Nagar,2023-08-16,16:15,18:37,142,Network Expansion,11kV,Telangana DISCOM App,1
5620,Charminar,2023-07-29,08:00,11:39,219,Equipment Upgrade,11kV,TSECL Website,1
5621,Alwal,2023-09-21,19:15,19:47,32,Scheduled Maintenance,11kV,TSECL Website,1
5622,Sanath Nagar,2023-09-21,09:15,16:08,413,Scheduled Maintenance,11kV,Social Media,1
5623,Boduppal,2023-11-30,17:15,20:29,194,Load Shedding,11kV,TSECL Website,0
5624,Miyapur,2023-07-21,12:45,14:13,88,Line Fault,132kV,Telangana DISCOM App,0
5625,Secunderabad,2024-02-11,10:30,16:41,371,Scheduled Maintenance,132kV,Telangana DISCOM App,1
5626,Nallagandla,2023-12-30,19:00,22:01,181,Weather Damage,11kV,Telangana DISCOM App,0
5627,KPHB,2024-02-20,15:45,17:05,80,Network Expansion,33kV,TSECL Website,1
5628,Boduppal,2024-02-08,02:30,06:24,234,Transformer Failure,132kV,TSECL Website,0
5629,Banjara Hills,2023-12-16,11:00,11:16,16,Line Fault,33kV,Consumer Call,0
5630,Himayatnagar,2024-05-13,08:30,09:10,40,Equipment Upgrade,11kV,Telangana DISCOM App,1
5631,Vanasthalipuram,2024-04-13,13:30,14:30,60,Scheduled Maintenance,11kV,TSECL Website,1
5632,Chandanagar,2023-07-19,12:15,18:38,383,Network Expansion,11kV,TSECL Website,1
5633,Quthbullapur,2023-10-28,15:30,22:32,422,Equipment Upgrade,11kV,TSECL Website,1
5634,Punjagutta,2024-06-15,11:15,12:03,48,Scheduled Maintenance,132kV,Consumer Call,1
5635,Sanath Nagar,2024-03-07,05:15,07:05,110,Weather Damage,33kV,TSECL Website,0
5636,Chandanagar,2024-04-23,19:00,23:21,261,Scheduled Maintenance,11kV,Social Media,1
5637,Chandanagar,2023-11-24,11:00,12:08,68,Scheduled Maintenance,11kV,TSECL Website,1
5638,Vidyanagar,2023-09-22,20:00,01:39,339,Weather Damage,11kV,TSECL Website,0
5639,Yapral,2024-03-11,06:00,08:34,154,Line Fault,33kV,Telangana DISCOM App,0
5640,Himayatnagar,2024-02-23,00:30,01:49,79,Grid Overload,33kV,Consumer Call,0
5641,Tolichowki,2024-04-05,20:15,01:19,304,Weather Damage,33kV,Telangana DISCOM App,0
5642,Serilingampally,2024-01-23,07:30,09:20,110,Load Shedding,11kV,Telangana DISCOM App,0
5643,Abids,2023-08-19,19:45,00:10,265,Equipment Upgrade,11kV,Consumer Call,1
5644,Kothapet,2024-05-15,15:30,23:15,465,Network Expansion,33kV,Telangana DISCOM App,1
5645,Himayatnagar,2023-11-05,22:30,04:05,335,Line Fault,33kV,Telangana DISCOM App,0
5646,Boduppal,2024-04-19,11:45,14:30,165,Equipment Upgrade,33kV,Telangana DISCOM App,1
5647,Gachibowli,2024-01-08,16:45,17:01,16,Transformer Failure,11kV,Social Media,0
5648,LB Nagar,2023-11-18,20:00,23:11,191,Weather Damage,33kV,Telangana DISCOM App,0
5649,Abids,2024-01-12,17:00,22:47,347,Equipment Upgrade,11kV,Social Media,1
5650,Malkajgiri,2023-11-15,13:00,19:10,370,Network Expansion,33kV,TSECL Website,1
5651,Alwal,2023-07-23,19:45,23:43,238,Network Expansion,11kV,Telangana DISCOM App,1
5652,Alwal,2024-04-10,05:30,09:44,254,Load Shedding,11kV,Telangana DISCOM App,0
5653,Gandipet,2023-07-20,02:15,06:57,282,Line Fault,33kV,Telangana DISCOM App,0
5654,Golconda,2023-09-02,13:30,14:33,63,Equipment Upgrade,11kV,TSECL Website,1
5655,Uppal,2023-07-27,16:45,22:32,347,Weather Damage,11kV,Telangana DISCOM App,0
5656,Habsiguda,2024-06-26,13:15,17:15,240,Network Expansion,11kV,TSECL Website,1
5657,Chandanagar,2023-09-05,19:45,23:21,216,Network Expansion,33kV,TSECL Website,1
5658,Yapral,2024-06-11,11:00,18:52,472,Network Expansion,33kV,Telangana DISCOM App,1
5659,Sanath Nagar,2024-01-17,18:45,21:04,139,Scheduled Maintenance,11kV,TSECL Website,1
5660,Kukatpally,2024-01-21,12:30,20:06,456,Scheduled Maintenance,11kV,Social Media,1
5661,Ameerpet,2024-02-10,01:45,04:25,160,Grid Overload,11kV,Telangana DISCOM App,0
5662,Punjagutta,2023-08-10,16:00,16:45,45,Grid Overload,33kV,Telangana DISCOM App,0
5663,Patancheru,2023-09-23,12:15,15:52,217,Grid Overload,11kV,Social Media,0
5664,As Rao Nagar,2023-12-17,17:15,20:38,203,Equipment Upgrade,11kV,Consumer Call,1
5665,Gachibowli,2023-12-14,19:15,21:58,163,Scheduled Maintenance,33kV,Telangana DISCOM App,1
5666,Begumpet,2024-05-18,12:45,15:02,137,Scheduled Maintenance,33kV,Consumer Call,1
5667,Zahirabad,2024-03-19,19:45,23:51,246,Line Fault,132kV,Consumer Call,0
5668,Lingampally,2024-05-22,13:30,19:34,364,Equipment Upgrade,132kV,TSECL Website,1
5669,Sanath Nagar,2023-11-23,15:00,16:48,108,Equipment Upgrade,11kV,TSECL Website,1
5670,Malkajgiri,2024-02-07,12:30,14:48,138,Network Expansion,11kV,TSECL Website,1
5671,Moula Ali,2023-12-13,19:45,22:27,162,Network Expansion,11kV,Telangana DISCOM App,1
5672,Miyapur,2024-02-02,00:15,00:32,17,Line Fault,11kV,TSECL Website,0
5673,Zahirabad,2024-01-02,10:45,14:25,220,Scheduled Maintenance,33kV,TSECL Website,1
5674,Raidurg,2023-09-18,02:30,05:40,190,Line Fault,11kV,Social Media,0
5675,Secunderabad,2024-06-27,08:45,11:53,188,Equipment Upgrade,33kV,Consumer Call,1
5676,Kukatpally,2023-11-10,19:45,00:08,263,Equipment Upgrade,33kV,Telangana DISCOM App,1
5677,Shamshabad,2023-08-12,15:45,23:23,458,Equipment Upgrade,11kV,Consumer Call,1
5678,Shamshabad,2024-01-25,15:15,18:24,189,Network Expansion,11kV,TSECL Website,1
5679,Begumpet,2023-07-17,15:00,16:59,119,Grid Overload,33kV,Telangana DISCOM App,0
5680,Tarnaka,2024-03-16,16:00,19:09,189,Load Shedding,33kV,Telangana DISCOM App,0
5681,Shamshabad,2023-12-04,12:15,13:03,48,Equipment Upgrade,33kV,Consumer Call,1
5682,Banjara Hills,2023-10-25,15:00,17:32,152,Equipment Upgrade,11kV,Social Media,1
5683,Tarnaka,2023-12-22,16:00,23:18,438,Network Expansion,11kV,Telangana DISCOM App,1
5684,Nampally,2023-10-06,00:00,04:10,250,Transformer Failure,33kV,Social Media,0
5685,Kukatpally,2023-11-05,15:15,16:03,48,Line Fault,33kV,TSECL Website,0
5686,Sanath Nagar,2024-02-22,20:30,20:47,17,Transformer Failure,11kV,TSECL Website,0
5687,Zahirabad,2024-02-10,14:15,17:03,168,Equipment Upgrade,33kV,Consumer Call,1
5688,Nampally,2024-05-04,10:45,12:09,84,Grid Overload,11kV,Consumer Call,0
5689,Malkajgiri,2023-08-29,19:45,01:58,373,Equipment Upgrade,33kV,Telangana DISCOM App,1
5690,Nallagandla,2023-10-16,13:30,15:55,145,Network Expansion,11kV,Telangana DISCOM App,1
5691,Miyapur,2023-10-21,19:15,21:16,121,Load Shedding,11kV,Consumer Call,0
5692,Shamirpet,2024-04-09,17:00,19:39,159,Equipment Upgrade,33kV,Social Media,1
5693,Zahirabad,2024-02-28,17:15,21:17,242,Network Expansion,33kV,Social Media,1
5694,Hitech City,2024-05-21,17:30,19:05,95,Scheduled Maintenance,11kV,TSECL Website,1
5695,Tarnaka,2024-03-20,14:45,21:08,383,Network Expansion,33kV,TSECL Website,1
5696,Nallagandla,2023-11-22,19:15,21:15,120,Scheduled Maintenance,33kV,Telangana DISCOM App,1
5697,LB Nagar,2023-09-10,19:00,21:37,157,Network Expansion,11kV,Telangana DISCOM App,1
5698,Manikonda,2024-02-26,16:45,21:25,280,Equipment Upgrade,11kV,TSECL Website,1
5699,Uppal,2024-06-16,21:45,22:32,47,Grid Overload,11kV,TSECL Website,0
5700,Vidyanagar,2023-11-13,10:30,12:31,121,Network Expansion,11kV,Social Media,1
5701,Madhapur,2023-10-20,13:15,20:33,438,Equipment Upgrade,132kV,Telangana DISCOM App,1
5702,Himayatnagar,2024-05-20,18:15,22:01,226,Network Expansion,11kV,Consumer Call,1
5703,Ameerpet,2024-02-23,09:30,17:25,475,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5704,Bolarum,2024-04-24,14:15,21:46,451,Equipment Upgrade,33kV,TSECL Website,1
5705,Nampally,2023-08-29,06:00,08:43,163,Transformer Failure,11kV,Consumer Call,0
5706,Habsiguda,2023-10-23,09:45,16:18,393,Network Expansion,33kV,Consumer Call,1
5707,Banjara Hills,2023-12-28,09:00,11:59,179,Equipment Upgrade,11kV,Telangana DISCOM App,1
5708,Boduppal,2024-02-03,11:00,17:16,376,Scheduled Maintenance,11kV,Consumer Call,1
5709,Miyapur,2023-12-13,19:15,00:03,288,Equipment Upgrade,11kV,Telangana DISCOM App,1
5710,Ameerpet,2023-07-05,03:15,07:47,272,Load Shedding,11kV,Consumer Call,0
5711,Jubilee Hills,2023-07-24,19:15,20:18,63,Scheduled Maintenance,33kV,Telangana DISCOM App,1
5712,Banjara Hills,2024-03-13,00:30,06:23,353,Line Fault,33kV,Social Media,0
5713,Rajendra Nagar,2023-12-09,18:45,21:46,181,Weather Damage,33kV,Social Media,0
5714,Sanath Nagar,2023-08-24,11:45,16:31,286,Grid Overload,33kV,TSECL Website,0
5715,Banjara Hills,2023-11-11,17:15,21:41,266,Load Shedding,33kV,Consumer Call,0
5716,Kukatpally,2023-12-25,00:30,02:49,139,Weather Damage,11kV,TSECL Website,0
5717,Bowenpally,2023-11-12,16:15,22:24,369,Network Expansion,33kV,Telangana DISCOM App,1
5718,Bowenpally,2023-08-04,19:15,01:04,349,Scheduled Maintenance,132kV,Social Media,1
5719,Kothapet,2024-01-15,18:30,19:52,82,Transformer Failure,11kV,Telangana DISCOM App,0
5720,Dilsukhnagar,2023-09-21,17:45,20:20,155,Network Expansion,11kV,Telangana DISCOM App,1
5721,Boduppal,2024-03-27,14:30,19:39,309,Scheduled Maintenance,11kV,Telangana DISCOM App,1
5722,Serilingampally,2024-04-17,15:15,18:53,218,Network Expansion,11kV,Telangana DISCOM App,1
5723,Charminar,2023-12-23,12:30,19:05,395,Scheduled Maintenance,132kV,Consumer Call,1
5724,Secunderabad,2023-11-28,05:45,10:16,271,Load Shedding,11kV,Telangana DISCOM App,0
5725,Patancheru,2023-08-18,12:00,15:21,201,Weather Damage,33kV,Social Media,0
5726,Golconda,2023-09-15,11:15,13:15,120,Network Expansion,11kV,Consumer Call,1
5727,Malkajgiri,2023-08-13,17:30,19:25,115,Network Expansion,11kV,TSECL Website,1
5728,Nallagandla,2024-01-02,13:00,14:11,71,Equipment Upgrade,11kV,Telangana DISCOM App,1
5729,Charminar,2023-12-27,13:15,20:10,415,Equipment Upgrade,11kV,Telangana DISCOM App,1
5730,Miyapur,2024-04-10,09:45,14:33,288,Network Expansion,33kV,Social Media,1
5731,Dilsukhnagar,2023-08-20,11:30,18:20,410,Scheduled Maintenance,11kV,TSECL Website,1
5732,Bowenpally,2023-07-19,08:00,12:34,274,Load Shedding,33kV,Social Media,0
5733,Boduppal,2024-03-29,13:15,19:09,354,Equipment Upgrade,11kV,Social Media,1
5734,Miyapur,2023-11-18,17:00,22:22,322,Scheduled Maintenance,33kV,TSECL Website,1
5735,Shamirpet,2023-08-04,00:45,02:53,128,Transformer Failure,33kV,Consumer Call,0
5736,Jubilee Hills,2024-05-01,11:30,12:46,76,Equipment Upgrade,33kV,Telangana DISCOM App,1
5737,Banjara Hills,2024-02-20,12:00,14:58,178,Line Fault,33kV,Consumer Call,0
5738,Raidurg,2024-03-10,13:00,15:55,175,Equipment Upgrade,11kV,Telangana DISCOM App,1
5739,Banjara Hills,2023-12-15,08:45,13:13,268,Transformer Failure,33kV,Consumer Call,0
5740,Hitech City,2024-05-09,13:00,15:46,166,Grid Overload,11kV,Telangana DISCOM App,0
